minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
950,093400_1..S02R,local,Tuesday,1458676892,1458677582,False
950,093900_1..S02R,local,Tuesday,1458677111,1458677801,False
950,094400_1..S02R,local,Tuesday,1458677370,1458678060,False
950,094900_1..S02R,local,Tuesday,1458677563,1458678253,False
950,089800_2..S01R,express,Tuesday,1458676210,1458676742,False
950,090550_2..S01R,express,Tuesday,1458676850,1458677270,False
950,091350_2..S01R,express,Tuesday,1458677082,1458677502,False
950,092300_2..S01R,express,Tuesday,1458677435,1458677855,False
950,092950_2..S01R,express,Tuesday,1458677837,1458678287,False
950,093800_2..S01R,express,Tuesday,1458678164,1458678614,False
950,094450_2..S01R,express,Tuesday,1458678490,1458678940,False
950,094400_3..S01R,express,Tuesday,1458676742,1458677162,False
951,092400_1..S02R,local,Tuesday,1458676231,1458676951,False
951,092900_1..S02R,local,Tuesday,1458676481,1458677171,False
951,093400_1..S02R,local,Tuesday,1458676871,1458677561,False
951,093900_1..S02R,local,Tuesday,1458677128,1458677818,False
951,094400_1..S02R,local,Tuesday,1458677356,1458678046,False
951,094900_1..S02R,local,Tuesday,1458677580,1458678270,False
951,089800_2..S01R,express,Tuesday,1458676238,1458676688,False
951,090550_2..S01R,express,Tuesday,1458676828,1458677248,False
951,091350_2..S01R,express,Tuesday,1458677088,1458677508,False
951,092300_2..S01R,express,Tuesday,1458677418,1458677838,False
951,092950_2..S01R,express,Tuesday,1458677854,1458678304,False
951,093800_2..S01R,express,Tuesday,1458678149,1458678599,False
951,094450_2..S01R,express,Tuesday,1458678489,1458678939,False
951,094400_3..S01R,express,Tuesday,1458676702,1458677122,False
952,092900_1..S02R,local,Tuesday,1458676499,1458677189,True
952,093400_1..S02R,local,Tuesday,1458676867,1458677557,True
952,093900_1..S02R,local,Tuesday,1458677126,1458677816,True
952,094400_1..S02R,local,Tuesday,1458677426,1458678116,True
952,094900_1..S02R,local,Tuesday,1458677587,1458678277,True
952,090550_2..S01R,express,Tuesday,1458676854,1458677274,False
952,091350_2..S01R,express,Tuesday,1458677118,1458677538,False
952,092300_2..S01R,express,Tuesday,1458677434,1458677854,False
952,092950_2..S01R,express,Tuesday,1458677849,1458678299,False
952,093800_2..S01R,express,Tuesday,1458678169,1458678619,False
952,094450_2..S01R,express,Tuesday,1458678489,1458678939,False
952,095250_2..S01R,express,Tuesday,1458678998,1458679448,False
952,094400_3..S01R,express,Tuesday,1458676704,1458677124,False
953,092900_1..S02R,local,Tuesday,1458676392,1458677202,True
953,093400_1..S02R,local,Tuesday,1458676867,1458677557,True
953,093900_1..S02R,local,Tuesday,1458677117,1458677807,True
953,094400_1..S02R,local,Tuesday,1458677413,1458678103,True
953,094900_1..S02R,local,Tuesday,1458677588,1458678278,True
953,090550_2..S01R,express,Tuesday,1458676832,1458677252,False
953,091350_2..S01R,express,Tuesday,1458677137,1458677557,False
953,092300_2..S01R,express,Tuesday,1458677392,1458677812,False
953,092950_2..S01R,express,Tuesday,1458677849,1458678299,False
953,093800_2..S01R,express,Tuesday,1458678168,1458678618,False
953,094450_2..S01R,express,Tuesday,1458678510,1458678960,False
953,095250_2..S01R,express,Tuesday,1458678996,1458679446,False
953,094400_3..S01R,express,Tuesday,1458676720,1458677140,False
953,095300_3..S01R,express,Tuesday,1458677232,1458677652,False
954,092900_1..S02R,local,Tuesday,1458676448,1458677168,False
954,093400_1..S02R,local,Tuesday,1458676877,1458677567,False
954,093900_1..S02R,local,Tuesday,1458677130,1458677820,False
954,094400_1..S02R,local,Tuesday,1458677430,1458678120,False
954,094900_1..S02R,local,Tuesday,1458677584,1458678274,False
954,095400_1..S07R,local,Tuesday,1458677897,1458678587,False
954,090550_2..S01R,express,Tuesday,1458676866,1458677286,False
954,091350_2..S01R,express,Tuesday,1458677048,1458677468,False
954,092300_2..S01R,express,Tuesday,1458677422,1458677842,False
954,092950_2..S01R,express,Tuesday,1458677836,1458678286,False
954,093800_2..S01R,express,Tuesday,1458678181,1458678631,False
954,094450_2..S01R,express,Tuesday,1458678507,1458678957,False
954,095250_2..S01R,express,Tuesday,1458678992,1458679442,False
954,094400_3..S01R,express,Tuesday,1458676472,1458677162,False
954,095300_3..S01R,express,Tuesday,1458677175,1458677595,False
955,092900_1..S02R,local,Tuesday,1458676448,1458677168,True
955,093400_1..S02R,local,Tuesday,1458676893,1458677583,True
955,093900_1..S02R,local,Tuesday,1458677107,1458677797,True
955,094400_1..S02R,local,Tuesday,1458677418,1458678108,True
955,094900_1..S02R,local,Tuesday,1458677584,1458678274,True
955,095400_1..S07R,local,Tuesday,1458677911,1458678601,True
955,090550_2..S01R,express,Tuesday,1458676852,1458677272,False
955,091350_2..S01R,express,Tuesday,1458677039,1458677459,False
955,092300_2..S01R,express,Tuesday,1458677460,1458677880,False
955,092950_2..S01R,express,Tuesday,1458677848,1458678298,False
955,093800_2..S01R,express,Tuesday,1458678181,1458678631,False
955,094450_2..S01R,express,Tuesday,1458678468,1458678918,False
955,095250_2..S01R,express,Tuesday,1458678967,1458679417,False
955,094400_3..S01R,express,Tuesday,1458676504,1458677162,False
955,095300_3..S01R,express,Tuesday,1458677160,1458677580,False
